PodID,ReportingMonth,TotalConsumption
LPU,2023-01-01,240
LPU,2023-02-01,230
LPU,2023-03-01,209
LPU,2023-04-01,188
LPU,2023-05-01,167
LPU,2023-06-01,157
LPU,2023-07-01,157
LPU,2023-08-01,167
LPU,2023-09-01,188
LPU,2023-10-01,209
LPU,2023-11-01,230
LPU,2023-12-01,238
SPU1,2023-01-01,300
SPU1,2023-02-01,287
SPU1,2023-03-01,261
SPU1,2023-04-01,235
SPU1,2023-05-01,209
SPU1,2023-06-01,196
SPU1,2023-07-01,196
SPU1,2023-08-01,209
SPU1,2023-09-01,235
SPU1,2023-10-01,261
SPU1,2023-11-01,287
SPU1,2023-12-01,299
SPU2,2023-01-01,660
SPU2,2023-02-01,632
SPU2,2023-03-01,574
SPU2,2023-04-01,517
SPU2,2023-05-01,459
SPU2,2023-06-01,431
SPU2,2023-07-01,431
SPU2,2023-08-01,459
SPU2,2023-09-01,517
SPU2,2023-10-01,574
SPU2,2023-11-01,632
SPU2,2023-12-01,659
