TariffType,TariffID,EntityID,EntityType,CustomerID,ReportingMonth,PeakConsumption,StandardConsumption,OffPeakConsumption,Block1Consumption,Block2Consumption,Block3Consumption,Block4Consumption,NonTOUConsumption,Scenario
LPU,MININTER,3497898058.MININTER,POD,5078338819,2023-01-01,633.0,1793.0,1686.0,0.0,0.0,0.0,0.0,0.0,happy_path
LPU,MININTER,3497898058.MININTER,POD,5078338819,2023-02-01,295.0,924.0,823.0,0.0,0.0,0.0,0.0,0.0,happy_path
LPU,MININTER,3497898058.MININTER,POD,5078338819,2023-03-01,507.0,1549.0,1178.0,0.0,0.0,0.0,0.0,0.0,happy_path
LPU,MININTER,3497898058.MININTER,POD,5078338819,2023-04-01,604.0,1936.0,1290.0,0.0,0.0,0.0,0.0,0.0,happy_path
LPU,MININTER,3497898058.MININTER,POD,5078338819,2023-05-01,569.0,2073.0,1172.0,0.0,0.0,0.0,0.0,0.0,happy_path
LPU,MININTER,3497898058.MININTER,POD,5078338819,2023-06-01,488.0,1557.0,1012.0,0.0,0.0,0.0,0.0,0.0,happy_path
LPU,MININTER,3497898058.MININTER,POD,5078338819,2023-07-01,818.0,2370.0,2123.0,0.0,0.0,0.0,0.0,0.0,happy_path
LPU,MININTER,3497898058.MININTER,POD,5078338819,2023-08-01,1873.0,4179.0,3491.0,0.0,0.0,0.0,0.0,0.0,happy_path
LPU,MININTER,3497898058.MININTER,POD,5078338819,2023-09-01,2234.0,5307.0,5604.0,0.0,0.0,0.0,0.0,0.0,happy_path
LPU,MININTER,3497898058.MININTER,POD,5078338819,2023-10-01,2206.0,5252.0,6579.0,0.0,0.0,0.0,0.0,0.0,happy_path
LPU,MININTER,3497898058.MININTER,POD,5078338819,2023-11-01,3337.0,6905.0,6348.0,0.0,0.0,0.0,0.0,0.0,happy_path
LPU,MININTER,3497898058.MININTER,POD,5078338819,2023-12-01,3388.0,6834.0,6716.0,0.0,0.0,0.0,0.0,0.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_001,Combo,SYNTH_CUST_001,2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,happy_path
SPU,SPU_SYNTHETIC,COMBO_SYNTH_002,Combo,SYNTH_CUST_002,2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2022-01-01,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2022-02-01,0.0,0.0,0.0,113.0,57.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2022-03-01,0.0,0.0,0.0,126.0,64.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2022-04-01,0.0,0.0,0.0,139.0,71.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2022-05-01,0.0,0.0,0.0,152.0,78.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2022-06-01,0.0,0.0,0.0,165.0,85.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2022-07-01,0.0,0.0,0.0,178.0,92.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2022-08-01,0.0,0.0,0.0,191.0,99.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2022-09-01,0.0,0.0,0.0,204.0,106.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2022-10-01,0.0,0.0,0.0,217.0,113.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2022-11-01,0.0,0.0,0.0,230.0,120.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2022-12-01,0.0,0.0,0.0,243.0,127.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2023-01-01,0.0,0.0,0.0,256.0,134.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2023-02-01,0.0,0.0,0.0,269.0,141.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2023-03-01,0.0,0.0,0.0,282.0,148.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2023-04-01,0.0,0.0,0.0,295.0,155.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2023-05-01,0.0,0.0,0.0,308.0,162.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2023-06-01,0.0,0.0,0.0,321.0,169.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2023-07-01,0.0,0.0,0.0,334.0,176.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2023-08-01,0.0,0.0,0.0,347.0,183.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2023-09-01,0.0,0.0,0.0,360.0,190.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2023-10-01,0.0,0.0,0.0,373.0,197.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2023-11-01,0.0,0.0,0.0,386.0,204.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_001,CSA,SYNTH_CUST_003,2023-12-01,0.0,0.0,0.0,399.0,211.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_002,CSA,SYNTH_CUST_004,2022-01-01,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_002,CSA,SYNTH_CUST_004,2022-02-01,0.0,0.0,0.0,113.0,57.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_002,CSA,SYNTH_CUST_004,2022-03-01,0.0,0.0,0.0,126.0,64.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_002,CSA,SYNTH_CUST_004,2022-04-01,0.0,0.0,0.0,139.0,71.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_002,CSA,SYNTH_CUST_004,2022-05-01,0.0,0.0,0.0,152.0,78.0,0.0,0.0,0.0,happy_path
PPU,PPU_SYNTHETIC,CSA_SYNTH_002,CSA,SYNTH_CUST_004,2022-06-01,0.0,0.0,0.0,165.0,85.0,0.0,0.0,0.0,happy_path
