EntityID,TariffType,TariffID,EntityType,ReportingMonth,PeakConsumption,StandardConsumption,OffPeakConsumption,Block1Consumption,Block2Consumption,Block3Consumption,Block4Consumption,NonTOUConsumption,Scenario
1000000001.MEGAFLEX,LPU,MEGAFLEX,POD,2024-05-01,4235100,2879867.8,1355232,0.0,0.0,0.0,0.0,0.0,synthetic_clean
1000000001.MEGAFLEX,LPU,MEGAFLEX,POD,2024-06-01,4638493,3154175.5,1484318,0.0,0.0,0.0,0.0,0.0,synthetic_clean
1000000001.MEGAFLEX,LPU,MEGAFLEX,POD,2024-07-01,5055901,3438012.6,1617888,0.0,0.0,0.0,0.0,0.0,synthetic_clean
1000000001.MEGAFLEX,LPU,MEGAFLEX,POD,2024-08-01,4739244,3222686.0,1516558,0.0,0.0,0.0,0.0,0.0,synthetic_clean
1000000001.MEGAFLEX,LPU,MEGAFLEX,POD,2024-09-01,4483800,3048984.3,1434816,0.0,0.0,0.0,0.0,0.0,synthetic_clean
1000000001.MEGAFLEX,LPU,MEGAFLEX,POD,2024-10-01,4252274,2891546.3,1360728,0.0,0.0,0.0,0.0,0.0,synthetic_clean
1000000001.MEGAFLEX,LPU,MEGAFLEX,POD,2024-11-01,3837879,2609757.8,1228121,0.0,0.0,0.0,0.0,0.0,synthetic_clean
1000000001.MEGAFLEX,LPU,MEGAFLEX,POD,2024-12-01,3710567,2523185.6,1187381,0.0,0.0,0.0,0.0,0.0,synthetic_clean
1000000001.MEGAFLEX,LPU,MEGAFLEX,POD,2025-01-01,3697710,2514442.7,1183267,0.0,0.0,0.0,0.0,0.0,synthetic_clean
1000000001.MEGAFLEX,LPU,MEGAFLEX,POD,2025-02-01,3609105,2454191.7,1154914,0.0,0.0,0.0,0.0,0.0,synthetic_clean
1000000001.MEGAFLEX,LPU,MEGAFLEX,POD,2025-03-01,4142176,2816679.4,1325496,0.0,0.0,0.0,0.0,0.0,synthetic_clean
1000000001.MEGAFLEX,LPU,MEGAFLEX,POD,2025-04-01,4448886,3025242.2,1423643,0.0,0.0,0.0,0.0,0.0,synthetic_clean
